Image,Class,Mean,Variance,Standard Deviation,Entropy,Skewness,Kurtosis,Contrast,Energy,ASM,Homogeneity,Dissimilarity,Correlation
Image3159,1,18.83,1404.51,37.48,0.01,2.45,6.15,78.22,0.10,0.01,0.53,3.05,0.97
Image3160,1,15.69,1255.05,35.43,0.01,2.67,7.25,53.42,0.09,0.01,0.54,2.63,0.97
Image3161,1,15.49,1214.31,34.85,0.01,2.66,7.23,75.77,0.10,0.01,0.54,2.83,0.96
Image3162,0,13.52,528.01,22.98,0.07,2.15,4.90,28.97,0.23,0.05,0.61,2.05,0.98
Image3163,0,12.25,484.52,22.01,0.07,2.24,5.31,29.94,0.23,0.06,0.61,2.11,0.98
Image3164,0,10.07,401.58,20.04,0.08,2.44,6.24,28.84,0.24,0.06,0.61,2.09,0.98
Image3165,0,2.14,73.14,8.55,0.10,4.61,22.64,34.35,0.27,0.08,0.62,2.17,0.95
Image3166,1,4.42,273.93,16.55,0.02,4.39,21.06,94.19,0.13,0.02,0.46,3.78,0.94
Image3167,1,12.23,635.85,25.22,0.03,2.65,7.55,99.36,0.15,0.02,0.48,3.92,0.95
Image3168,1,17.25,822.15,28.67,0.03,2.26,5.61,80.68,0.16,0.03,0.46,4.26,0.96
Image3169,1,4.07,352.53,18.78,0.00,5.19,28.16,95.26,0.04,0.00,0.31,5.61,0.97
Image3170,1,1.82,198.70,14.10,0.01,8.01,64.94,55.11,0.06,0.00,0.34,3.98,0.91
Image3171,1,3.24,264.75,16.27,0.00,5.43,30.50,73.94,0.05,0.00,0.36,4.70,0.93
Image3172,0,4.92,294.53,17.16,0.08,3.92,15.88,154.21,0.25,0.06,0.51,4.90,0.92
Image3173,1,9.03,1115.39,33.40,0.10,4.05,16.74,184.15,0.28,0.08,0.53,4.72,0.98
Image3174,1,3.81,594.17,24.38,0.00,6.76,46.94,158.64,0.03,0.00,0.21,8.32,0.91
Image3175,1,7.32,1185.71,34.43,0.00,5.10,26.80,138.50,0.03,0.00,0.24,6.50,0.96
Image3176,1,31.84,2836.21,53.26,0.03,2.32,5.94,242.48,0.14,0.02,0.39,6.97,0.97
Image3177,1,32.95,2910.58,53.95,0.02,2.30,5.86,263.67,0.12,0.01,0.39,7.26,0.96
Image3178,1,20.91,2425.16,49.25,0.00,2.97,9.29,263.48,0.04,0.00,0.32,7.95,0.96
Image3179,1,14.99,2152.27,46.39,0.01,3.52,12.76,139.78,0.07,0.00,0.35,5.73,0.97
Image3180,1,11.06,1749.57,41.83,0.00,4.11,17.19,76.49,0.04,0.00,0.34,4.66,0.96
Image3181,1,10.96,1688.14,41.09,0.00,4.11,17.28,80.43,0.04,0.00,0.32,5.10,0.97
Image3182,1,14.88,1813.37,42.58,0.00,3.38,12.02,104.63,0.04,0.00,0.34,5.61,0.97
Image3183,1,3.09,454.00,21.31,0.00,7.25,54.01,76.43,0.04,0.00,0.27,5.83,0.94
Image3184,1,0.10,14.59,3.82,0.03,36.93,1371.64,102.57,0.15,0.02,0.23,7.43,0.55
Image3185,0,5.11,237.02,15.40,0.18,3.45,12.41,49.86,0.39,0.15,0.63,2.61,0.97
Image3186,0,8.84,388.74,19.72,0.13,2.92,10.67,84.91,0.32,0.10,0.58,3.35,0.95
Image3187,1,5.80,403.77,20.09,0.00,4.13,18.28,42.51,0.04,0.00,0.37,3.83,0.97
Image3188,1,13.40,591.00,24.31,0.02,2.57,7.69,51.02,0.12,0.01,0.45,3.55,0.96
Image3189,0,7.85,297.60,17.25,0.09,2.61,7.06,46.68,0.26,0.07,0.59,2.68,0.96
Image3190,0,4.31,186.81,13.67,0.12,3.55,12.96,54.77,0.31,0.10,0.60,2.87,0.95
Image3191,0,19.76,1511.27,38.88,0.10,2.36,5.82,155.33,0.28,0.08,0.56,4.11,0.97
Image3192,1,17.84,1748.09,41.81,0.01,2.85,8.52,163.20,0.08,0.01,0.41,4.85,0.95
Image3193,1,19.57,1896.74,43.55,0.02,2.76,8.06,146.10,0.11,0.01,0.43,4.77,0.97
Image3194,1,17.73,1875.36,43.31,0.01,3.01,9.57,166.39,0.08,0.01,0.41,5.42,0.96
Image3195,1,17.80,1883.90,43.40,0.01,3.01,9.57,145.14,0.08,0.01,0.39,5.40,0.97
Image3196,1,3.30,474.23,21.78,0.02,6.93,49.31,266.61,0.11,0.01,0.40,6.12,0.95
Image3197,0,6.28,360.33,18.98,0.22,3.50,12.89,71.23,0.42,0.18,0.64,3.18,0.97
Image3198,1,1.77,172.65,13.14,0.01,7.78,61.85,87.29,0.07,0.01,0.32,5.48,0.93
Image3199,1,7.96,559.98,23.66,0.02,3.54,13.16,109.26,0.13,0.02,0.43,4.94,0.95
Image3200,1,11.19,741.53,27.23,0.01,3.07,10.21,105.91,0.10,0.01,0.41,4.85,0.95
Image3201,1,9.52,635.35,25.21,0.01,3.38,12.65,53.80,0.07,0.01,0.38,4.25,0.96
Image3202,0,14.61,611.11,24.72,0.06,2.18,5.09,53.43,0.22,0.05,0.51,3.39,0.97
Image3203,0,13.74,590.22,24.29,0.07,2.23,5.25,59.70,0.23,0.05,0.52,3.45,0.96
Image3204,0,11.56,510.93,22.60,0.07,2.43,6.22,66.51,0.24,0.06,0.53,3.61,0.96
Image3205,0,8.01,385.31,19.63,0.08,2.89,8.64,81.57,0.25,0.06,0.52,4.03,0.95
Image3206,1,1.96,242.92,15.59,0.00,8.39,72.43,85.03,0.04,0.00,0.28,5.66,0.94
Image3207,1,6.42,742.79,27.25,0.00,4.79,24.23,73.49,0.04,0.00,0.35,5.03,0.97
Image3208,1,5.59,602.17,24.54,0.00,4.84,24.24,117.42,0.05,0.00,0.35,6.06,0.93
Image3209,0,13.52,656.71,25.63,0.06,2.32,5.60,67.50,0.21,0.04,0.57,3.26,0.97
Image3210,1,22.93,1234.78,35.14,0.04,2.02,4.40,131.44,0.17,0.03,0.49,4.23,0.95
Image3211,1,14.04,923.03,30.38,0.02,2.63,7.19,93.13,0.11,0.01,0.48,3.79,0.95
Image3212,0,14.61,897.29,29.95,0.07,2.43,6.05,161.06,0.22,0.05,0.59,3.58,0.94
Image3213,0,9.76,673.68,25.96,0.10,2.99,9.12,181.06,0.28,0.08,0.61,3.90,0.94
Image3214,0,8.96,766.45,27.68,0.16,3.58,13.35,128.24,0.36,0.13,0.56,4.68,0.98
Image3215,0,13.46,1091.17,33.03,0.11,2.89,8.66,128.45,0.29,0.08,0.50,5.03,0.97
Image3216,0,16.94,1328.24,36.45,0.11,2.57,6.94,110.53,0.29,0.09,0.52,4.53,0.98
Image3217,1,9.26,1294.25,35.98,0.00,4.41,20.48,62.29,0.03,0.00,0.32,4.77,0.98
Image3218,1,17.60,2079.40,45.60,0.00,3.19,10.83,99.48,0.03,0.00,0.37,5.06,0.97
Image3219,1,3.57,471.28,21.71,0.02,6.58,45.33,163.20,0.12,0.02,0.35,7.26,0.97
Image3220,1,14.47,766.28,27.68,0.04,2.42,6.18,84.54,0.18,0.03,0.50,3.84,0.96
Image3221,1,8.85,573.07,23.94,0.01,3.23,10.87,90.17,0.07,0.00,0.39,4.63,0.94
Image3222,1,6.34,441.60,21.01,0.01,3.73,14.38,73.86,0.08,0.01,0.44,3.88,0.94
Image3223,1,8.80,565.41,23.78,0.01,3.14,10.17,95.11,0.08,0.01,0.45,4.11,0.91
Image3224,1,1.51,143.83,11.99,0.00,8.22,68.74,26.56,0.06,0.00,0.40,3.16,0.92
Image3225,1,3.17,269.28,16.41,0.02,5.50,31.07,85.15,0.13,0.02,0.50,3.22,0.96
Image3226,1,0.68,70.63,8.40,0.01,12.54,158.71,15.61,0.10,0.01,0.46,2.48,0.94
Image3227,1,0.84,88.32,9.40,0.02,11.37,130.59,22.77,0.11,0.01,0.46,2.89,0.93
Image3228,0,8.34,347.86,18.65,0.16,2.67,7.77,63.97,0.36,0.13,0.63,2.61,0.96
Image3229,1,13.35,645.24,25.40,0.04,2.66,8.13,41.47,0.18,0.03,0.50,3.24,0.98
Image3230,1,11.61,608.66,24.67,0.01,2.77,8.25,38.11,0.07,0.01,0.45,3.27,0.97
Image3231,0,13.90,1262.72,35.53,0.17,3.08,9.95,142.67,0.37,0.14,0.58,4.30,0.98
Image3232,1,1.92,341.33,18.48,0.00,10.08,105.06,282.06,0.05,0.00,0.21,10.00,0.89
Image3233,1,17.35,1513.57,38.90,0.00,2.71,7.53,96.51,0.05,0.00,0.36,4.87,0.89
Image3234,0,18.82,1471.33,38.36,0.10,2.46,6.33,210.74,0.28,0.08,0.52,5.43,0.96
Image3235,0,11.93,1002.04,31.66,0.13,3.13,10.16,253.04,0.32,0.10,0.54,6.32,0.95
Image3236,0,4.20,389.92,19.75,0.22,5.20,27.85,321.19,0.43,0.18,0.60,6.64,0.94
Image3237,1,4.31,607.98,24.66,0.00,6.02,36.83,128.18,0.05,0.00,0.34,5.46,0.92
Image3238,1,7.22,900.34,30.01,0.01,4.48,20.41,376.34,0.09,0.01,0.38,6.04,0.90
Image3239,1,15.29,1437.96,37.92,0.00,3.13,10.43,193.64,0.05,0.00,0.36,5.62,0.95
Image3240,1,7.79,1084.19,32.93,0.01,4.56,21.12,166.29,0.08,0.01,0.42,4.98,0.96
Image3241,1,7.64,1045.11,32.33,0.01,4.61,21.75,222.76,0.10,0.01,0.43,5.27,0.96
Image3242,1,5.21,726.18,26.95,0.01,5.53,31.35,175.99,0.09,0.01,0.39,5.03,0.96
Image3243,1,2.05,362.56,19.04,0.00,9.77,98.14,245.75,0.05,0.00,0.28,7.38,0.95
Image3244,1,21.06,1483.35,38.51,0.03,2.42,6.61,162.35,0.16,0.03,0.48,4.52,0.96
Image3245,1,17.76,1305.96,36.14,0.03,2.49,6.39,184.40,0.16,0.02,0.50,4.52,0.94
Image3246,1,8.33,392.85,19.82,0.01,3.08,10.13,46.41,0.10,0.01,0.53,2.95,0.97
Image3247,1,7.37,378.52,19.46,0.01,3.27,11.24,42.70,0.07,0.01,0.51,3.01,0.97
Image3248,0,3.87,117.66,10.85,0.11,3.35,11.81,20.75,0.30,0.09,0.60,2.10,0.97
Image3249,0,4.78,145.92,12.08,0.06,3.02,9.51,35.82,0.22,0.05,0.55,2.71,0.94
Image3250,1,3.36,437.59,20.92,0.00,6.67,45.86,108.39,0.04,0.00,0.31,5.49,0.94
Image3251,1,6.73,714.02,26.72,0.00,4.63,22.73,108.44,0.04,0.00,0.35,5.25,0.97
Image3252,1,4.06,362.41,19.04,0.00,5.39,30.89,69.74,0.04,0.00,0.31,5.31,0.96
Image3253,1,1.20,68.13,8.25,0.01,7.31,55.34,23.34,0.06,0.00,0.36,3.30,0.91
Image3254,0,8.06,239.88,15.49,0.08,2.33,5.65,29.00,0.24,0.06,0.63,1.82,0.96
Image3255,0,5.90,187.41,13.69,0.08,2.68,7.38,35.94,0.25,0.06,0.63,1.95,0.95
Image3256,0,3.41,119.34,10.92,0.09,3.51,12.50,47.24,0.27,0.07,0.64,2.24,0.93
Image3257,0,11.71,743.74,27.27,0.13,2.75,7.89,125.70,0.33,0.11,0.58,3.70,0.96
Image3258,1,3.82,364.69,19.10,0.01,5.33,29.00,84.63,0.06,0.00,0.42,3.54,0.94
Image3259,1,17.45,1060.53,32.57,0.07,2.47,6.77,113.56,0.23,0.05,0.50,4.20,0.97
Image3260,1,19.44,1260.60,35.50,0.02,2.52,6.91,118.12,0.10,0.01,0.43,4.33,0.96
Image3261,0,9.61,700.17,26.46,0.08,3.23,10.79,94.29,0.24,0.06,0.50,4.43,0.97
Image3262,0,12.19,566.74,23.81,0.10,2.47,6.57,53.79,0.28,0.08,0.56,3.31,0.97
Image3263,0,16.06,689.59,26.26,0.10,2.05,4.65,52.72,0.28,0.08,0.58,3.06,0.98
Image3264,1,3.69,306.93,17.52,0.00,5.09,26.58,45.04,0.05,0.00,0.37,3.82,0.90
Image3265,0,5.36,252.13,15.88,0.07,3.40,11.86,51.28,0.23,0.06,0.56,3.34,0.96
Image3266,0,15.13,817.25,28.59,0.08,2.38,6.05,79.88,0.24,0.06,0.51,4.34,0.97
Image3267,0,15.40,823.72,28.70,0.10,2.36,5.99,86.26,0.28,0.08,0.52,4.36,0.97
Image3268,0,17.04,784.66,28.01,0.03,2.19,5.05,85.62,0.14,0.02,0.45,4.49,0.96
Image3269,0,17.84,838.13,28.95,0.03,2.16,4.94,97.46,0.15,0.02,0.46,4.72,0.95
Image3270,0,16.84,789.57,28.10,0.03,2.19,5.03,85.13,0.15,0.02,0.47,4.35,0.96
Image3271,1,0.35,43.71,6.61,0.01,19.33,376.19,40.45,0.08,0.01,0.33,4.26,0.84
Image3272,1,0.86,107.77,10.38,0.01,12.28,152.69,49.76,0.07,0.01,0.35,4.50,0.90
Image3273,1,1.01,124.58,11.16,0.01,11.31,129.72,44.95,0.07,0.00,0.37,4.13,0.92
Image3274,0,4.31,239.27,15.47,0.12,4.12,17.61,82.36,0.30,0.09,0.53,4.42,0.96
Image3275,0,11.24,570.43,23.88,0.13,2.61,7.32,73.61,0.33,0.11,0.56,3.62,0.97
Image3276,0,14.27,670.21,25.89,0.10,2.26,5.57,84.59,0.29,0.08,0.54,3.74,0.96
Image3277,0,15.86,657.97,25.65,0.10,2.09,4.87,76.45,0.27,0.07,0.52,3.87,0.96
Image3278,0,18.68,717.05,26.78,0.05,1.91,4.02,73.02,0.19,0.03,0.49,3.71,0.96
Image3279,0,18.56,702.59,26.51,0.06,1.89,3.96,68.14,0.21,0.05,0.51,3.68,0.96
Image3280,1,3.03,420.48,20.51,0.00,7.45,58.28,95.84,0.03,0.00,0.23,6.77,0.97
Image3281,1,8.39,1307.12,36.15,0.00,4.99,26.01,116.26,0.03,0.00,0.30,6.25,0.98
Image3282,1,9.01,1345.52,36.68,0.00,4.76,23.70,169.73,0.03,0.00,0.31,7.17,0.98
Image3283,1,7.55,995.59,31.55,0.00,4.83,24.65,248.67,0.04,0.00,0.29,8.19,0.95
Image3284,0,12.73,599.31,24.48,0.12,2.34,5.81,72.40,0.31,0.09,0.56,3.48,0.97
Image3285,1,7.48,972.84,31.19,0.00,4.87,25.03,145.68,0.05,0.00,0.34,6.77,0.97
Image3286,1,12.42,1267.85,35.61,0.01,3.78,15.58,123.91,0.08,0.01,0.38,5.72,0.98
Image3287,1,11.53,1187.08,34.45,0.00,3.86,16.17,122.89,0.05,0.00,0.33,6.14,0.97
Image3288,1,8.59,1156.40,34.01,0.01,4.45,20.50,149.47,0.09,0.01,0.34,6.64,0.97
Image3289,1,9.01,1128.78,33.60,0.01,4.40,20.48,171.72,0.09,0.01,0.36,6.51,0.97
Image3290,1,6.69,902.57,30.04,0.02,5.01,26.18,190.73,0.11,0.01,0.37,6.13,0.97
Image3291,1,2.67,353.61,18.80,0.02,7.76,63.26,307.99,0.10,0.01,0.35,8.66,0.95
Image3292,1,0.50,69.96,8.36,0.02,17.85,331.52,534.40,0.11,0.01,0.25,13.33,0.91
Image3293,0,8.27,481.05,21.93,0.18,3.15,10.40,72.50,0.38,0.15,0.63,3.10,0.97
Image3294,0,11.04,548.99,23.43,0.13,2.62,7.33,52.43,0.32,0.10,0.58,3.02,0.98
Image3295,0,14.13,663.72,25.76,0.13,2.32,5.99,75.11,0.32,0.10,0.56,3.68,0.97
Image3296,0,15.97,689.77,26.26,0.08,2.16,5.17,80.81,0.26,0.07,0.52,3.95,0.96
Image3297,1,0.50,58.50,7.65,0.00,16.02,263.47,273.79,0.06,0.00,0.26,8.17,0.87
Image3298,1,11.75,644.94,25.40,0.03,2.76,8.21,118.02,0.15,0.02,0.48,4.63,0.94
Image3299,1,9.11,820.80,28.65,0.00,3.75,14.75,200.11,0.03,0.00,0.32,7.32,0.93
Image3300,1,15.43,1186.72,34.45,0.00,2.79,8.11,208.26,0.05,0.00,0.36,6.76,0.89
Image3301,1,18.85,1357.72,36.85,0.01,2.51,6.54,224.68,0.10,0.01,0.42,6.19,0.93
Image3302,1,18.49,1340.34,36.61,0.02,2.52,6.59,211.59,0.11,0.01,0.44,5.45,0.93
Image3303,1,14.68,1127.28,33.58,0.00,2.82,8.21,187.13,0.05,0.00,0.40,5.80,0.90
Image3304,0,16.77,1121.19,33.48,0.06,2.43,6.13,229.73,0.22,0.05,0.54,5.07,0.94
Image3305,0,3.13,191.84,13.85,0.14,5.26,30.02,201.07,0.34,0.11,0.59,5.35,0.91
Image3306,1,8.22,735.83,27.13,0.01,3.89,16.08,143.63,0.08,0.01,0.32,6.33,0.95
Image3307,1,3.02,336.14,18.33,0.00,6.57,44.65,170.19,0.04,0.00,0.27,7.48,0.93
Image3308,1,18.76,1274.24,35.70,0.01,2.54,6.74,129.23,0.06,0.00,0.40,4.98,0.95
Image3309,1,13.24,1027.61,32.06,0.01,2.90,8.73,98.54,0.06,0.00,0.38,4.66,0.94
Image3310,1,8.26,750.29,27.39,0.01,3.69,13.94,104.57,0.07,0.00,0.37,4.88,0.94
Image3311,1,4.01,434.87,20.85,0.00,5.71,34.08,90.19,0.05,0.00,0.32,5.57,0.97
Image3312,1,10.65,848.21,29.12,0.01,3.37,12.30,142.04,0.10,0.01,0.40,5.69,0.95
Image3313,1,5.51,644.38,25.38,0.01,5.14,27.56,124.95,0.07,0.00,0.31,6.52,0.97
Image3314,1,5.65,554.93,23.56,0.00,4.81,24.57,218.55,0.03,0.00,0.30,7.14,0.94
Image3315,1,6.57,609.04,24.68,0.00,4.53,21.94,188.20,0.03,0.00,0.29,7.10,0.95
Image3316,1,3.38,365.90,19.13,0.00,6.10,38.58,75.92,0.04,0.00,0.33,4.90,0.94
Image3317,1,7.01,540.28,23.24,0.00,3.74,14.53,28.87,0.06,0.00,0.41,3.22,0.94
Image3318,0,5.41,349.41,18.69,0.08,3.86,15.32,179.18,0.25,0.06,0.53,5.09,0.92
Image3319,1,14.99,1183.88,34.41,0.01,3.02,9.98,130.48,0.07,0.01,0.36,5.74,0.96
Image3320,1,4.11,497.05,22.29,0.00,5.99,37.32,101.64,0.03,0.00,0.27,6.15,0.98
Image3321,1,13.49,1047.31,32.36,0.01,3.05,9.93,157.45,0.06,0.00,0.34,6.28,0.95
Image3322,1,4.12,542.52,23.29,0.00,6.21,39.83,130.18,0.03,0.00,0.28,6.56,0.98
Image3323,1,11.71,1097.30,33.13,0.00,3.56,13.66,140.52,0.03,0.00,0.31,6.07,0.96
Image3324,1,13.75,1287.42,35.88,0.00,3.19,10.82,93.81,0.03,0.00,0.32,5.38,0.96
Image3325,1,13.44,1233.01,35.11,0.00,3.16,10.54,78.74,0.04,0.00,0.31,5.11,0.96
Image3326,1,14.99,1183.81,34.41,0.01,2.86,8.72,86.58,0.07,0.01,0.36,4.83,0.96
Image3327,0,9.70,674.47,25.97,0.07,3.14,10.18,192.84,0.24,0.06,0.48,5.71,0.94
Image3328,0,3.76,283.51,16.84,0.11,5.13,27.49,203.08,0.30,0.09,0.52,5.49,0.94
Image3329,0,10.84,579.36,24.07,0.11,2.65,7.36,125.91,0.29,0.08,0.54,4.13,0.95
Image3330,1,9.90,668.96,25.86,0.00,3.26,11.47,55.67,0.04,0.00,0.33,4.53,0.96
Image3331,1,17.51,1134.93,33.69,0.02,2.65,7.86,122.05,0.11,0.01,0.39,5.31,0.96
Image3332,1,13.82,1140.31,33.77,0.01,3.07,10.06,132.22,0.06,0.00,0.34,5.92,0.96
Image3333,1,4.89,587.41,24.24,0.01,5.37,29.83,122.17,0.07,0.00,0.32,5.55,0.96
Image3334,1,3.71,402.38,20.06,0.00,5.92,36.80,97.31,0.04,0.00,0.31,5.50,0.95
Image3335,0,9.00,332.01,18.22,0.14,2.44,6.32,38.65,0.33,0.11,0.64,2.18,0.97
Image3336,0,10.55,376.17,19.40,0.14,2.30,5.98,41.13,0.34,0.11,0.65,2.25,0.97
Image3337,1,11.66,713.20,26.71,0.01,3.23,11.65,45.92,0.07,0.00,0.44,3.47,0.98
Image3338,1,7.35,494.49,22.24,0.00,3.91,16.92,37.95,0.05,0.00,0.42,3.45,0.98
Image3339,1,9.62,732.84,27.07,0.01,3.62,14.24,59.31,0.06,0.00,0.40,4.14,0.98
Image3340,1,9.02,732.66,27.07,0.01,3.64,14.05,77.07,0.07,0.00,0.39,4.62,0.97
Image3341,1,9.55,712.88,26.70,0.01,3.55,13.67,111.21,0.09,0.01,0.42,5.11,0.96
Image3342,1,4.56,386.37,19.66,0.03,4.87,25.01,148.15,0.14,0.02,0.40,5.48,0.95
Image3343,1,2.49,195.42,13.98,0.05,6.12,39.23,147.13,0.20,0.04,0.44,4.74,0.94
Image3344,0,7.26,374.19,19.34,0.11,3.04,9.55,72.61,0.30,0.09,0.59,3.03,0.96
Image3345,0,9.29,466.35,21.60,0.13,2.72,7.72,74.42,0.32,0.10,0.60,3.08,0.96
Image3346,1,13.19,888.44,29.81,0.01,3.05,10.35,140.54,0.09,0.01,0.43,4.65,0.95
Image3347,1,11.03,785.78,28.03,0.00,3.34,12.44,97.45,0.05,0.00,0.40,4.27,0.95
Image3348,1,12.32,676.92,26.02,0.03,2.77,8.50,109.17,0.14,0.02,0.46,4.41,0.95
Image3349,0,7.86,416.80,20.42,0.05,3.06,9.70,109.01,0.20,0.04,0.49,4.52,0.94
Image3350,0,4.34,246.69,15.71,0.08,4.06,16.96,116.53,0.25,0.06,0.50,4.96,0.94
Image3351,0,13.59,603.75,24.57,0.11,2.30,5.75,75.64,0.29,0.08,0.54,3.76,0.96
Image3352,1,1.80,189.45,13.76,0.01,8.70,83.41,229.77,0.09,0.01,0.32,8.10,0.94
Image3353,0,1.97,130.26,11.41,0.18,6.23,40.08,177.99,0.39,0.15,0.60,4.91,0.93
Image3354,1,2.24,264.17,16.25,0.02,8.13,70.48,336.77,0.11,0.01,0.28,10.01,0.94
Image3355,0,12.70,544.68,23.34,0.06,2.28,5.45,68.12,0.22,0.05,0.54,3.26,0.96
Image3356,0,10.70,478.51,21.87,0.08,2.48,6.41,91.21,0.24,0.06,0.53,3.77,0.94
Image3357,0,7.04,345.28,18.58,0.07,3.10,9.93,104.54,0.24,0.06,0.53,4.20,0.94
Image3358,0,3.06,168.36,12.98,0.12,4.72,23.15,119.10,0.30,0.09,0.56,4.02,0.93
Image3359,1,3.20,439.13,20.96,0.00,7.29,55.86,411.40,0.03,0.00,0.24,11.21,0.94
Image3360,1,8.73,1022.43,31.98,0.00,4.23,18.92,319.97,0.04,0.00,0.25,9.49,0.92
Image3361,1,16.66,1688.04,41.09,0.05,2.93,8.92,277.51,0.19,0.04,0.44,7.15,0.96
Image3362,0,28.23,2301.67,47.98,0.06,2.12,4.75,323.83,0.21,0.04,0.52,5.47,0.94
Image3363,0,5.56,531.01,23.04,0.14,4.60,21.84,419.38,0.33,0.11,0.51,8.37,0.92
Image3364,1,11.59,480.03,21.91,0.06,2.61,8.03,65.60,0.22,0.05,0.52,3.22,0.96
Image3365,1,14.35,575.29,23.99,0.05,2.36,6.46,65.90,0.19,0.04,0.50,3.30,0.96
Image3366,1,9.34,790.24,28.11,0.01,3.94,17.80,200.19,0.10,0.01,0.44,4.84,0.94
Image3367,1,3.97,354.74,18.83,0.08,6.00,41.60,283.51,0.25,0.06,0.54,5.01,0.94
Image3368,1,3.03,223.46,14.95,0.08,6.00,42.49,169.37,0.26,0.07,0.51,4.39,0.94
Image3369,0,8.79,523.71,22.88,0.25,3.01,9.61,84.97,0.46,0.21,0.66,3.08,0.97
Image3370,0,16.23,688.71,26.24,0.07,2.04,4.44,79.96,0.22,0.05,0.54,3.34,0.96
Image3371,0,15.34,662.47,25.74,0.06,2.11,4.72,77.56,0.22,0.05,0.54,3.41,0.96
Image3372,0,8.81,463.86,21.54,0.12,2.83,8.30,107.41,0.31,0.09,0.56,4.09,0.95
Image3373,0,13.90,701.27,26.48,0.11,2.36,6.00,73.05,0.29,0.09,0.55,3.38,0.97
Image3374,1,4.58,361.59,19.02,0.01,5.06,28.73,124.43,0.07,0.00,0.34,6.02,0.95
Image3375,1,9.81,577.00,24.02,0.00,3.02,9.75,87.39,0.05,0.00,0.34,5.22,0.91
Image3376,1,8.36,666.41,25.81,0.00,4.07,18.58,173.67,0.03,0.00,0.30,7.26,0.95
Image3377,1,9.29,840.75,29.00,0.00,3.96,17.15,128.73,0.03,0.00,0.27,6.66,0.96
Image3378,1,10.08,939.22,30.65,0.00,3.70,14.60,89.37,0.04,0.00,0.30,5.62,0.97
Image3379,1,7.70,807.40,28.41,0.00,4.33,19.90,99.88,0.04,0.00,0.30,5.90,0.97
Image3380,1,11.25,884.36,29.74,0.01,3.61,14.86,73.05,0.07,0.00,0.36,4.63,0.98
Image3381,1,4.06,463.44,21.53,0.00,6.08,39.92,204.07,0.05,0.00,0.23,8.61,0.95
Image3382,1,0.35,49.42,7.03,0.01,20.67,433.40,47.01,0.10,0.01,0.31,4.48,0.92
Image3383,1,12.68,1106.08,33.26,0.01,3.11,10.08,209.49,0.10,0.01,0.40,5.92,0.93
Image3384,1,12.12,1071.50,32.73,0.01,3.25,11.13,266.62,0.09,0.01,0.38,6.83,0.92
Image3385,1,14.81,1235.89,35.16,0.04,2.89,8.77,146.19,0.17,0.03,0.44,5.44,0.96
Image3386,1,17.17,1386.41,37.23,0.01,2.64,7.17,133.06,0.06,0.00,0.40,4.78,0.92
Image3387,1,18.85,1450.94,38.09,0.01,2.51,6.50,130.95,0.10,0.01,0.41,4.95,0.95
Image3388,1,12.63,1249.22,35.34,0.08,3.26,10.96,195.75,0.25,0.06,0.52,4.64,0.97
Image3389,1,21.61,1762.87,41.99,0.07,2.49,6.79,165.09,0.23,0.05,0.48,5.11,0.97
Image3390,1,24.89,1886.18,43.43,0.06,2.28,5.73,212.22,0.22,0.05,0.47,5.79,0.96
Image3391,1,4.92,698.35,26.43,0.00,5.79,34.43,298.65,0.04,0.00,0.29,8.26,0.94
Image3392,1,1.50,221.74,14.89,0.00,10.33,109.67,132.55,0.04,0.00,0.15,8.57,0.90
Image3393,0,18.21,1385.85,37.23,0.10,2.47,6.39,204.70,0.28,0.08,0.52,5.40,0.96
Image3394,0,11.39,927.59,30.46,0.13,3.16,10.37,233.09,0.32,0.10,0.54,6.09,0.95
Image3395,0,4.07,374.04,19.34,0.22,5.25,28.39,318.13,0.43,0.18,0.59,6.68,0.94
Image3396,1,2.90,451.18,21.24,0.00,7.70,60.36,114.93,0.04,0.00,0.28,6.13,0.97
Image3397,1,5.91,967.13,31.10,0.00,5.71,33.78,166.56,0.03,0.00,0.25,7.15,0.96
Image3398,1,10.52,1588.61,39.86,0.00,4.22,18.33,94.77,0.03,0.00,0.31,5.64,0.97
Image3399,1,12.22,1881.54,43.38,0.00,3.98,16.30,113.91,0.04,0.00,0.31,5.96,0.98
Image3400,1,12.62,1898.75,43.57,0.00,3.91,15.76,110.49,0.04,0.00,0.32,5.88,0.98
Image3401,1,6.55,1067.60,32.67,0.00,5.35,29.26,75.91,0.03,0.00,0.22,5.86,0.97
Image3402,1,4.81,779.19,27.91,0.00,6.17,38.98,56.27,0.03,0.00,0.18,5.80,0.97
Image3403,1,5.25,668.86,25.86,0.00,5.57,32.75,185.68,0.03,0.00,0.25,7.87,0.96
Image3404,0,13.46,1026.29,32.04,0.08,2.77,7.88,103.84,0.25,0.06,0.52,4.00,0.97
Image3405,0,6.83,552.23,23.50,0.08,3.82,14.94,139.96,0.25,0.06,0.50,4.84,0.96
Image3406,0,11.98,735.51,27.12,0.10,2.82,8.38,53.73,0.28,0.08,0.55,3.33,0.98
Image3407,1,9.43,911.66,30.19,0.02,3.56,12.88,73.45,0.11,0.01,0.47,3.52,0.97
Image3408,1,23.90,1327.41,36.43,0.02,2.18,5.27,80.20,0.11,0.01,0.46,3.99,0.97
Image3409,1,6.24,666.55,25.82,0.00,4.53,21.03,37.15,0.05,0.00,0.37,3.56,0.97
